"season","date","gameId","eventId","period","periodType","time","aScore","hScore","aSkaters","hSkaters","hZone","locX","locY","desc","type","subtype","team","teamIceSit","p1","p2","p3","p1Role","p2Role","p3Role","aS1","aS2","aS3","aS4","aS5","aS6","aG","hS1","hS2","hS3","hS4","hS5","hS6","hG"
20152016,20160311,21007,0,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Game Scheduled","game_scheduled",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160311,21007,1,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Period Ready","period_ready",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160311,21007,2,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Period Start","period_start",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160311,21007,3,1,"regular",0,0,0,5,5,"n",0,1,"Patrice Bergeron faceoff won against Riley Nash","faceoff",NULL,"bos","home",8470638,8474062,NULL,"winner","loser",NULL,8474052,8478396,8474062,8477488,8471804,NULL,8470320,8471717,8473419,8470638,8470740,8476792,NULL,8471695
20152016,20160311,21007,4,1,"regular",16,0,0,5,5,"o",62,-3,"Brett Pesce blocked shot from Lee Stempniak","blocked_shot",NULL,"bos","home",8477488,8470740,NULL,"blocker","shooter",NULL,8474052,8478396,8474062,8477488,8471804,NULL,8470320,8471717,8473419,8470638,8470740,8476792,NULL,8471695
20152016,20160311,21007,5,1,"regular",21,0,0,5,5,"o",94,5,"Noah Hanifin","giveaway",NULL,"car","away",8478396,NULL,NULL,"giver",NULL,NULL,8474052,8478396,8474062,8477488,8471804,NULL,8470320,8471717,8473419,8470638,8470740,8476792,NULL,8471695
20152016,20160311,21007,6,1,"regular",31,0,0,5,5,NULL,NULL,NULL,"Icing","stop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8474052,8478396,8474062,8477488,8471804,NULL,8470320,8471717,8473419,8470638,8470740,8476792,NULL,8471695
20152016,20160311,21007,7,1,"regular",31,0,0,5,5,"o",70,-21,"Riley Nash faceoff won against David Krejci","faceoff",NULL,"car","away",8474062,8471276,NULL,"winner","loser",NULL,8474052,8478396,8474062,8477488,8471804,NULL,8470320,8470626,8477956,8471276,8465009,8468639,NULL,8471695
20152016,20160311,21007,8,1,"regular",74,0,0,5,5,"n",-14,-1,"Jimmy Hayes","takeaway",NULL,"bos","home",8474625,NULL,NULL,"taker",NULL,NULL,8468493,8476858,8473533,8476958,8475807,NULL,8470320,8474625,8473492,8476792,8475727,8468639,NULL,8471695
20152016,20160311,21007,9,1,"regular",108,0,0,5,5,NULL,NULL,NULL,"Offside","stop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8474661,8475784,8476465,8476437,8476858,NULL,8470320,8474625,8471717,8478569,8473492,8476792,NULL,8471695
20152016,20160311,21007,10,1,"regular",108,0,0,5,5,"n",-19,23,"Jay McClement faceoff won against Noel Acciari","faceoff",NULL,"car","away",8469508,8478569,NULL,"winner","loser",NULL,8476944,8469508,8474661,8474089,8476465,NULL,8470320,8478569,8475792,8469619,8475157,8476476,NULL,8471695
20152016,20160311,21007,11,1,"regular",131,0,0,5,5,"d",-68,-14,"Landon Ferraro blocked shot from Jay McClement","blocked_shot",NULL,"car","away",8475157,8469508,NULL,"blocker","shooter",NULL,8476944,8469508,8474661,8476465,8477496,NULL,8470320,8478569,8475792,8469619,8475157,8476476,NULL,8471695
20152016,20160311,21007,12,1,"regular",150,0,0,5,5,"d",-93,-12,"Joakim Nordstrom hit Dennis Seidenberg","hit",NULL,"car","away",8469619,8475807,NULL,"hittee","hitter",NULL,8469508,8474661,8477496,8476958,8475807,NULL,8470320,8478569,8469619,8470740,8475157,8476476,NULL,8471695
20152016,20160311,21007,13,1,"regular",177,0,0,5,5,"d",-63,31,"Elias Lindholm - Wide of Net","missed_shot",NULL,"car","away",8477496,NULL,NULL,"shooter",NULL,NULL,8468493,8477496,8473533,8476958,8475807,NULL,8470320,8473419,8470638,8465009,8470740,8468639,NULL,8471695
20152016,20160311,21007,14,1,"regular",189,0,0,5,5,"o",94,8,"Patrice Bergeron Hi-sticking against Jaccob Slavin -- minor -- 2","penalty","hi-sticking","bos","home",8470638,8476958,NULL,"penaltyon","drewby",NULL,8468493,8477496,8473533,8476958,8475807,NULL,8470320,8473419,8470638,8465009,8470740,8468639,NULL,8471695
20152016,20160311,21007,15,1,"regular",189,0,0,5,4,"d",-70,21,"David Krejci faceoff won against Phillip Di Giuseppe","faceoff",NULL,"bos","home",8471276,8476858,NULL,"winner","loser",NULL,8475784,8476465,8476858,8471804,8476958,NULL,8470320,8465009,8470626,8471276,8471717,NULL,NULL,8471695
20152016,20160311,21007,16,1,"regular",211,0,0,5,4,"d",-94,27,"Zdeno Chara hit Phillip Di Giuseppe","hit",NULL,"bos","home",8476858,8465009,NULL,"hittee","hitter",NULL,8475784,8476465,8476858,8471804,8476958,NULL,8470320,8465009,8470626,8471276,8471717,NULL,NULL,8471695
20152016,20160311,21007,17,1,"regular",253,0,0,5,4,"d",-61,-25,"Jaccob Slavin - Wide of Net","missed_shot",NULL,"car","away",8476958,NULL,NULL,"shooter",NULL,NULL,8475784,8474062,8476858,8471804,8476958,NULL,8470320,8473419,8470740,8469619,8468639,NULL,NULL,8471695
20152016,20160311,21007,18,1,"regular",275,0,0,5,4,NULL,NULL,NULL,"Puck in Netting","stop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8474062,8476437,8477496,8478396,8473533,NULL,8470320,8478569,8471717,8465009,8475157,NULL,NULL,8471695
20152016,20160311,21007,19,1,"regular",275,0,0,5,4,"n",-19,-21,"Jordan Staal faceoff won against Noel Acciari","faceoff",NULL,"car","away",8473533,8478569,NULL,"winner","loser",NULL,8474062,8476437,8477496,8478396,8473533,NULL,8470320,8478569,8471717,8465009,8475157,NULL,NULL,8471695
20152016,20160311,21007,20,1,"regular",292,0,0,5,4,"d",-93,25,"Adam McQuaid hit Jordan Staal","hit",NULL,"bos","home",8473533,8471717,NULL,"hittee","hitter",NULL,8474062,8476437,8477496,8478396,8473533,NULL,8470320,8478569,8471717,8465009,8475157,NULL,NULL,8471695
20152016,20160311,21007,21,1,"regular",294,0,0,5,4,"d",-81,-1,"Jordan Staal Tip-In saved by Tuukka Rask","shot","tip-in","car","away",8473533,8471695,NULL,"shooter","goalie",NULL,8474062,8476437,8477496,8478396,8473533,NULL,8470320,8478569,8471717,8465009,8475157,NULL,NULL,8471695
20152016,20160311,21007,22,1,"regular",301,0,0,5,4,"d",-76,3,"Victor Rask Wrist Shot saved by Tuukka Rask","shot","wrist shot","car","away",8476437,8471695,NULL,"shooter","goalie",NULL,8474062,8476437,8477496,8478396,8473533,NULL,8470320,8478569,8471717,8465009,8475157,NULL,NULL,8471695
20152016,20160311,21007,23,1,"regular",306,0,0,5,4,"d",-67,6,"Elias Lindholm (9) Wrist Shot; assists: Noah Hanifin (12); Riley Nash (10)","goal","wrist shot","car","away",8478396,8474062,8477496,"assist1","assist2","scorer",8474062,8476437,8477496,8478396,8473533,NULL,8470320,8478569,8475157,8471717,8465009,NULL,NULL,8471695
20152016,20160311,21007,24,1,"regular",306,1,0,5,5,"n",-1,-1,"Ryan Spooner faceoff won against Jay McClement","faceoff",NULL,"bos","home",8475727,8469508,NULL,"winner","loser",NULL,8469508,8474089,8468493,8477488,8475807,NULL,8470320,8474625,8469619,8473492,8475727,8476476,NULL,8471695
20152016,20160311,21007,25,1,"regular",325,1,0,5,5,"o",74,-38,"Matt Beleskey hit Joakim Nordstrom","hit",NULL,"bos","home",8475807,8473492,NULL,"hittee","hitter",NULL,8469508,8474089,8468493,8477488,8475807,NULL,8470320,8474625,8469619,8473492,8475727,8476476,NULL,8471695
