"season","date","gameId","eventId","period","periodType","time","aScore","hScore","aSkaters","hSkaters","hZone","locX","locY","desc","type","subtype","team","teamIceSit","p1","p2","p3","p1Role","p2Role","p3Role","aS1","aS2","aS3","aS4","aS5","aS6","aG","hS1","hS2","hS3","hS4","hS5","hS6","hG"
20152016,20160302,20720,1,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Game Scheduled","game_scheduled",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160302,20720,0,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Period Ready","period_ready",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160302,20720,2,1,"regular",0,0,0,NULL,NULL,NULL,NULL,NULL,"Period Start","period_start",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20152016,20160302,20720,3,1,"regular",0,0,0,5,5,"n",-1,0,"Nicklas Backstrom faceoff won against Sidney Crosby","faceoff",NULL,"wsh","home",8473563,8471675,NULL,"winner","loser",NULL,8470543,8476874,8471724,8471887,8471675,NULL,8476899,8473991,8471214,8471698,8471702,8473563,NULL,8474651
20152016,20160302,20720,4,1,"regular",17,0,0,5,5,NULL,NULL,NULL,"Referee or Linesman","stop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8476874,8471724,8470543,8471887,8471675,NULL,8476899,8473563,8473991,8471214,8471698,8471702,NULL,8474651
20152016,20160302,20720,5,1,"regular",17,0,0,5,5,"d",-69,-21,"Tom Wilson faceoff won against Evgeni Malkin","faceoff",NULL,"wsh","home",8476880,8471215,NULL,"winner","loser",NULL,8474176,8475208,8473548,8471215,8470110,NULL,8476899,8473991,8466251,8475149,8476880,8471702,NULL,8474651
20152016,20160302,20720,6,1,"regular",26,0,0,5,5,"o",79,10,"Brian Dumoulin blocked shot from Jason Chimera","blocked_shot",NULL,"wsh","home",8475208,8466251,NULL,"blocker","shooter",NULL,8474176,8475208,8473548,8471215,8470110,NULL,8476899,8473991,8466251,8475149,8476880,8471702,NULL,8474651
20152016,20160302,20720,7,1,"regular",28,0,0,5,5,"o",83,6,"Jason Chimera - Wide of Net","missed_shot",NULL,"wsh","home",8466251,NULL,NULL,"shooter",NULL,NULL,8474176,8475208,8473548,8471215,8470110,NULL,8476899,8475200,8473991,8466251,8475149,8476880,NULL,8474651
20152016,20160302,20720,8,1,"regular",61,0,0,5,5,"d",-33,-28,"Olli Maatta Slap Shot saved by Braden Holtby","shot","slap shot","pit","away",8476874,8474651,NULL,"shooter","goalie",NULL,8474176,8471724,8476874,8473548,8471215,NULL,8476899,8475200,8466251,8475149,8468498,8468508,NULL,8474651
20152016,20160302,20720,9,1,"regular",62,0,0,5,5,NULL,NULL,NULL,"Goalie Stopped","stop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8474176,8471724,8476874,8473548,8471215,NULL,8476899,8475200,8466251,8475149,8468498,8468508,NULL,8474651
20152016,20160302,20720,10,1,"regular",62,0,0,5,5,"d",-69,-22,"Nicklas Backstrom faceoff won against Sidney Crosby","faceoff",NULL,"wsh","home",8473563,8471675,NULL,"winner","loser",NULL,8476874,8471724,8470543,8471887,8471675,NULL,8476899,8475200,8468498,8471214,8471698,8473563,NULL,8474651
20152016,20160302,20720,11,1,"regular",75,0,0,5,5,"o",91,-37,"Kris Letang hit Nicklas Backstrom","hit",NULL,"pit","away",8473563,8471724,NULL,"hittee","hitter",NULL,8470543,8476874,8471724,8471887,8471675,NULL,8476899,8475200,8468498,8471214,8471698,8473563,NULL,8474651
20152016,20160302,20720,12,1,"regular",90,0,0,5,5,"n",-15,-36,"Dmitry Orlov","giveaway",NULL,"wsh","home",8475200,NULL,NULL,"giver",NULL,NULL,8470543,8476874,8471724,8471887,8471675,NULL,8476899,8475200,8468498,8471214,8471698,8473563,NULL,8474651
20152016,20160302,20720,13,1,"regular",119,0,0,5,5,"d",-40,31,"Nate Schmidt","giveaway",NULL,"wsh","home",8477220,NULL,NULL,"giver",NULL,NULL,8475810,8475208,8475832,8464989,8470110,NULL,8476899,8475744,8477220,8473426,8477444,8468508,NULL,8474651
