"date","gameId","team","iceSit","scoreSit","sf","sa","bsf","bsa","msf","msa","aFinal","hFinal"
20151007,20001,"tor","home",0,22,18,9,3,8,6,3,1
20151007,20001,"tor","home",-2,0,0,0,0,0,0,3,1
20151007,20001,"tor","home",-1,9,7,4,5,1,7,3,1
20151007,20001,"mtl","away",0,18,22,3,9,6,8,3,1
20151007,20001,"mtl","away",1,7,9,5,4,7,1,3,1
20151007,20001,"mtl","away",2,0,0,0,0,0,0,3,1
20151008,20002,"chi","home",0,2,1,0,0,2,1,3,2
20151008,20002,"chi","home",-2,5,4,2,1,2,1,3,2
20151008,20002,"chi","home",-1,21,20,12,2,9,8,3,2
20151008,20002,"nyr","away",0,1,2,0,0,1,2,3,2
20151008,20002,"nyr","away",1,20,21,2,12,8,9,3,2
20151008,20002,"nyr","away",2,4,5,1,2,1,2,3,2
20151008,20003,"cgy","home",0,6,2,0,3,3,0,5,1
20151008,20003,"cgy","home",-2,6,13,2,2,2,3,5,1
20151008,20003,"cgy","home",-3,10,4,3,1,0,2,5,1
20151008,20003,"cgy","home",-1,4,15,6,2,5,3,5,1
20151008,20003,"van","away",0,2,6,3,0,0,3,5,1
20151008,20003,"van","away",1,15,4,2,6,3,5,5,1
20151008,20003,"van","away",2,13,6,2,2,3,2,5,1
20151008,20003,"van","away",3,4,10,1,3,2,0,5,1
20151008,20004,"lak","home",0,2,2,1,2,1,1,5,1
20151008,20004,"lak","home",1,2,8,2,1,1,1,5,1
20151008,20004,"lak","home",-2,0,1,0,0,0,0,5,1
20151008,20004,"lak","home",-3,4,6,3,4,5,3,5,1
20151008,20004,"lak","home",-1,1,2,1,0,2,4,5,1
20151008,20004,"sjs","away",0,2,2,2,1,1,1,5,1
20151008,20004,"sjs","away",1,2,1,0,1,4,2,5,1
20151008,20004,"sjs","away",2,1,0,0,0,0,0,5,1
20151008,20004,"sjs","away",3,6,4,4,3,3,5,5,1
20151008,20004,"sjs","away",-1,8,2,1,2,1,1,5,1
20151008,20005,"bos","home",0,4,4,3,1,2,2,6,2
20151008,20005,"bos","home",1,6,6,4,2,7,3,6,2
20151008,20005,"bos","home",-2,3,7,0,2,1,1,6,2
20151008,20005,"bos","home",-3,5,7,1,2,4,1,6,2
20151008,20005,"bos","home",-1,7,6,2,2,3,2,6,2
20151008,20005,"wpg","away",0,4,4,1,3,2,2,6,2
20151008,20005,"wpg","away",1,6,7,2,2,2,3,6,2
20151008,20005,"wpg","away",2,7,3,2,0,1,1,6,2
20151008,20005,"wpg","away",3,7,5,2,1,1,4,6,2
20151008,20005,"wpg","away",-1,6,6,2,4,3,7,6,2
20151008,20006,"buf","home",0,0,1,0,0,0,0,3,1
20151008,20006,"buf","home",-2,7,5,3,2,0,3,3,1
20151008,20006,"buf","home",-1,16,15,8,8,7,5,3,1
20151008,20006,"ott","away",0,1,0,0,0,0,0,3,1
20151008,20006,"ott","away",1,15,16,8,8,5,7,3,1
20151008,20006,"ott","away",2,5,7,2,3,3,0,3,1
20151008,20007,"tbl","home",0,15,12,5,11,7,6,2,3
20151008,20007,"tbl","home",1,5,1,0,2,1,2,2,3
20151008,20007,"tbl","home",-1,1,0,1,1,2,0,2,3
20151008,20007,"phi","away",0,12,15,11,5,6,7,2,3
20151008,20007,"phi","away",1,0,1,1,1,0,2,2,3
20151008,20007,"phi","away",-1,1,5,2,0,2,1,2,3
20151009,20008,"stl","home",0,17,11,8,12,8,5,1,3
20151009,20008,"stl","home",1,3,3,0,4,0,0,1,3
20151009,20008,"stl","home",-1,5,3,1,1,1,0,1,3
20151009,20008,"edm","away",0,11,17,12,8,5,8,1,3
20151009,20008,"edm","away",1,3,5,1,1,0,1,1,3
20151009,20008,"edm","away",-1,3,3,4,0,0,0,1,3
20151009,20009,"nsh","home",0,2,0,0,0,0,0,1,2
